,Net Square Meter,Number of Rooms,Floor Number,Credit Eligibility,Number of Bathrooms,Number of WC,Gross Square Meter,Building Age,Number of Floors in Building,Within Site,Balcony,house is furnished,Price,Heating Type Encoded,District Encoded,Neighbourhood Encoded
0,78,3.0,2.0,1,1,0,90,0,3,0,0,0,3500000,3934418.043984175,3610837.3493975904,3581310.3448275863
1,70,3.0,2.0,1,1,0,78,0,4,0,0,0,2650000,3950209.738156359,3567364.7735849055,4309000.0
2,150,6.0,0.5,1,2,0,165,0,4,0,0,0,3500000,3958329.920196583,3519111.795031056,2116266.6666666665
3,75,3.0,3.0,1,1,0,95,0,5,0,0,0,7000000,3934418.043984175,3610837.3493975904,3403931.0344827585
4,80,3.0,2.0,1,1,0,100,7,5,0,0,0,2450000,3948823.9967396366,3534624.2363636363,2842833.3333333335
5,85,3.0,2.0,1,1,0,100,0,6,0,1,0,3650000,3934418.043984175,3610837.3493975904,3995000.0
6,85,3.0,1.0,1,1,0,95,0,4,0,0,0,2550000,3958329.920196583,3519111.795031056,3313894.6842105263
7,135,6.0,4.0,1,2,0,145,0,5,0,0,0,4750000,3950209.738156359,3567364.7735849055,3238809.476190476
8,115,3.0,2.0,1,2,2,133,0,3,0,1,0,3850000,3934418.043984175,3610837.3493975904,4183928.5714285714
9,113,3.0,0.0,1,1,0,115,0,3,0,0,0,2750000,3935941.9173438586,3552152.8598726112,3919722.222222222
10,100,4.0,0.5,1,1,0,125,25,2,0,0,0,8500000,3934418.043984175,6953333.333333333,7316666.666666667
11,84,3.0,1.0,1,1,0,99,25,5,0,0,0,4950000,3015109.375,6953333.333333333,7316666.666666667
12,71,4.0,1.0,1,1,0,78,25,4,0,0,1,6800000,5225714.285714285,6886666.666666667,5993750.0
13,93,4.0,0.0,1,1,0,115,25,3,0,0,0,6000000,3950209.738156359,6846875.0,5675000.0
14,91,4.0,3.0,1,1,0,125,25,5,0,0,0,6250000,4523846.153846154,6719230.769230769,6790000.0
15,103,4.0,3.0,1,2,0,124,25,4,0,0,0,5900000,4523846.153846154,6719230.769230769,5675000.0
